accordance: according(0.86)
shown: indicated(0.83)
aggregate: aggregates(0.81)
mm: inch(0.83)
inch: mm(0.83)
mix: mixture(0.8)
price: prices(0.8)
less: greater(0.84)
system: systems(0.8)
cement: portland(0.85)
days: calendar(0.85)
according: accordance(0.86)
meet: conform(0.81)
temperature: temperatures(0.81)
conform: meet(0.81)
posts: post(0.8)
foot: linear(0.8)
pile: piles(0.81), driving(0.8)
mixture: mix(0.8)
two: three(0.87)
bolts: nuts(0.82)
cable: cables(0.83)
greater: less(0.84)
piles: piling(0.83), pile(0.81)
rate: rates(0.8)
course: courses(0.81)
reinforcement: reinforcing(0.88)
reinforcing: reinforcement(0.88)
yard: cubic(0.83)
vertical: horizontal(0.86)
sample: samples(0.85)
samples: sample(0.85)
cubic: yard(0.83)
post: posts(0.8)
linear: foot(0.8)
markings: marking(0.83)
indicated: shown(0.83)
numa: numb(0.86)
ii: iii(0.88)
consist: consists(0.82)
fence: fencing(0.81)
systems: system(0.8)
costs: expenses(0.81)
three: two(0.87)
longitudinal: transverse(0.86)
portland: cement(0.85)
pole: poles(0.8)
aggregates: aggregate(0.81)
marking: markings(0.83)
cabinet: cabinets(0.82)
curb: gutter(0.87)
numb: numa(0.86)
source: sources(0.8)
driving: pile(0.8)
embankment: embankments(0.83)
coarse: fine(0.8)
psi: mpa(0.84)
fine: coarse(0.8)
horizontal: vertical(0.86)
geotextile: geotextiles(0.8)
nuts: washers(0.85), bolts(0.82)
sum: lump(0.92)
transverse: longitudinal(0.86)
calendar: days(0.85)
guardrail: wbeam(0.8)
lime: hydrated(0.89)
agency: contracting(0.81)
iii: ii(0.88), iv(0.8)
culvert: culverts(0.81)
meets: conforms(0.81)
poles: pole(0.8)
culverts: culvert(0.81)
bidder: bidders(0.81)
lump: sum(0.92)
washers: nuts(0.85)
sealant: sealer(0.8)
terminal: terminals(0.8)
consists: consist(0.82)
keep: kept(0.82)
splice: splices(0.81)
splices: splice(0.81)
sources: source(0.8)
loop: leadin(0.83), detector(0.81)
piling: piles(0.83)
detector: loop(0.81), detectors(0.81)
rates: rate(0.8)
regulations: laws(0.82)
prices: price(0.8)
roller: rollers(0.8)
beams: girders(0.85)
weld: welds(0.83)
larger: smaller(0.8)
glass: beads(0.84)
seeding: mulching(0.81)
cables: cable(0.83)
admixtures: admixture(0.82)
trees: shrubs(0.88)
temperatures: temperature(0.81)
rollers: roller(0.8)
welds: weld(0.83)
gauge: gage(0.8)
conductors: conductor(0.85)
ash: fly(0.95)
bs: en(0.92)
clearing: grubbing(0.93)
pvc: polyvinyl(0.82)
courses: course(0.81)
damages: liquidated(0.85)
ed: speciﬁ(0.81)
beads: spheres(0.86), glass(0.84)
reflective: retroreflective(0.8)
girders: beams(0.85)
strand: strands(0.86)
en: bs(0.92)
fly: ash(0.95)
admixture: admixtures(0.82)
lb: lbs(0.8)
securely: fastened(0.8)
dbe: dbesbe(0.83), dmwbe(0.8)
mast: arm(0.87), arms(0.8)
switch: switches(0.81)
iv: iii(0.8)
sealer: sealant(0.8)
kept: keep(0.82)
duct: ducts(0.8)
retroreflective: reflective(0.8)
gutter: curb(0.87)
strands: strand(0.86)
arm: mast(0.87), arms(0.8)
mpa: psi(0.84)
catch: basins(0.85)
increase: decrease(0.84)
conductor: conductors(0.85)
nema: tsnum(0.82)
bidders: bidder(0.81)
basins: catch(0.85)
grubbing: clearing(0.93)
cabinets: cabinet(0.82)
embankments: embankment(0.83)
contracting: agency(0.81)
conforms: meets(0.81)
laws: regulations(0.82)
communications: communication(0.8)
ducts: duct(0.8)
gallon: liter(0.82)
hydrated: lime(0.89)
communication: communications(0.8)
western: australia(0.85)
arms: arm(0.8), mast(0.8)
pound: kilogram(0.82)
smaller: larger(0.8)
states: united(0.92)
terminals: terminal(0.8)
bc: mot(0.92)
australia: western(0.85)
gallons: liters(0.82)
practical: practicable(0.8)
fencing: fence(0.81)
awg: stranded(0.83)
mot: bc(0.92)
preservative: preservatives(0.8)
overseeing: organisation(0.94)
acre: hectare(0.83)
organisation: overseeing(0.94)
straw: hay(0.84)
aws: ansiaws(0.82)
shrubs: trees(0.88), vines(0.81)
¼: ⅛(0.8)
practicable: practical(0.8)
lbs: lb(0.8)
liquidated: damages(0.85)
mulching: seeding(0.81)
silica: fume(0.9)
geotextiles: geotextile(0.8)
gage: gauge(0.8)
